"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Diamond","41822","0x69459a29537cb75751f0d4f0ac9bdb2241ba9aa6","dragonfarmer","13","22","no","https://portal.abs.xyz/profile/0x69459a29537cb75751f0d4f0ac9bdb2241ba9aa6"
"Diamond","43794","0x81223fbb85c4c7e2abef9abbc9508dfc97a731b3","Buster","13","32","yes","https://portal.abs.xyz/profile/0x81223fbb85c4c7e2abef9abbc9508dfc97a731b3"
"Diamond","44658","0xb2042611b4987ba8be9efd6cc1165f09e7c694a8","JoblessGambler","13","40","yes","https://portal.abs.xyz/profile/0xb2042611b4987ba8be9efd6cc1165f09e7c694a8"
"Diamond","44931","0xb9dd657b037a94043f0c5a95c20f255d199ebd11","loyal","13","5","no","https://portal.abs.xyz/profile/0xb9dd657b037a94043f0c5a95c20f255d199ebd11"
"Diamond","46588","0x27db47dbb87e66af0b27d4746aa718acc977de75","Xen","13","37","yes","https://portal.abs.xyz/profile/0x27db47dbb87e66af0b27d4746aa718acc977de75"
"Diamond","47980","0x8667aef708f3dea096dc816f8774f04cff3951bf","BlackApple","13","28","no","https://portal.abs.xyz/profile/0x8667aef708f3dea096dc816f8774f04cff3951bf"
"Diamond","48093","0x22c6d67e8434653c740fbabd1bf5961402a6f1de","MantuPengu","14","36","no","https://portal.abs.xyz/profile/0x22c6d67e8434653c740fbabd1bf5961402a6f1de"
"Diamond","51037","0x164cb4eacf03e4635f7c040d28e2fb2f129bb462","TheVs","13","32","yes","https://portal.abs.xyz/profile/0x164cb4eacf03e4635f7c040d28e2fb2f129bb462"
"Diamond","51967","0xa8a956a5690cc81bb367da2c2f6f1796be2b3c30","scottco","13","32","no","https://portal.abs.xyz/profile/0xa8a956a5690cc81bb367da2c2f6f1796be2b3c30"
"Diamond","54701","0x49826f26fd526c52c7b18d0f2866b6e158328eec","VibeX","14","34","yes","https://portal.abs.xyz/profile/0x49826f26fd526c52c7b18d0f2866b6e158328eec"
"Diamond","57825","0x494327a08a826f235c68fb6698eda11dffffb0f8","Pixelcollector","13","31","yes","https://portal.abs.xyz/profile/0x494327a08a826f235c68fb6698eda11dffffb0f8"
"Diamond","59436","0xb1f929ce15f442d43cebafef12186d39e0650a3a","Booblino","13","33","no","https://portal.abs.xyz/profile/0xb1f929ce15f442d43cebafef12186d39e0650a3a"
"Diamond","60589","0xc60a6d12a073957b403abf414fe7b0c6abab67ca","absforever","15","40","yes","https://portal.abs.xyz/profile/0xc60a6d12a073957b403abf414fe7b0c6abab67ca"
"Diamond","64023","0xa0f78f02d4534fd7c7026514a27ef231e39f0300","elev8blyss","14","35","no","https://portal.abs.xyz/profile/0xa0f78f02d4534fd7c7026514a27ef231e39f0300"
"Diamond","65260","0x18faad5ee2bd3b77ac08df67c66416670c5e734c","Cubsfan","14","8","no","https://portal.abs.xyz/profile/0x18faad5ee2bd3b77ac08df67c66416670c5e734c"
"Diamond","66092","0x2a2376e5e9981c19b15af64d2cdb57c9b94eb1f6","xiskool","13","24","no","https://portal.abs.xyz/profile/0x2a2376e5e9981c19b15af64d2cdb57c9b94eb1f6"
"Diamond","69569","0x5f22c06221b4afa44b3f642c40ea7e5c8eecd53b","nathnnfts","13","31","yes","https://portal.abs.xyz/profile/0x5f22c06221b4afa44b3f642c40ea7e5c8eecd53b"
"Diamond","70765","0x6910f17437a0b78f6d9f3281e27977cc534a5165","l2oju","13","40","yes","https://portal.abs.xyz/profile/0x6910f17437a0b78f6d9f3281e27977cc534a5165"
"Diamond","70993","0x9abbb418ddb0189b432d1b51c234345b10a9e566","Cavent","13","10","yes","https://portal.abs.xyz/profile/0x9abbb418ddb0189b432d1b51c234345b10a9e566"
"Diamond","72170","0x0c5618c08ef39776818922d3e710de102ac16de6","oolaps","13","20","no","https://portal.abs.xyz/profile/0x0c5618c08ef39776818922d3e710de102ac16de6"
"Diamond","78984","0x6edc0c4c7186917208adf33f4c54410f1d15bff4","ScottyStarburst","13","30","no","https://portal.abs.xyz/profile/0x6edc0c4c7186917208adf33f4c54410f1d15bff4"
"Diamond","79469","0x6707fbe9c1dafb185ddf52a5e6c9fdd1ee69c46e","deb","13","37","no","https://portal.abs.xyz/profile/0x6707fbe9c1dafb185ddf52a5e6c9fdd1ee69c46e"
"Diamond","82531","0x4ebc17059cfc143d86fb92ed707805d68142e3ec","nomorever","13","33","yes","https://portal.abs.xyz/profile/0x4ebc17059cfc143d86fb92ed707805d68142e3ec"
"Diamond","82847","0xabf793be9dbc4c6fb90485552dd223d242166984","northkorea","15","42","no","https://portal.abs.xyz/profile/0xabf793be9dbc4c6fb90485552dd223d242166984"
"Diamond","83119","0xf3143c8e4469a271fa2be6d8775ca2b3bdccf4e2","RRPCX","14","41","yes","https://portal.abs.xyz/profile/0xf3143c8e4469a271fa2be6d8775ca2b3bdccf4e2"
"Diamond","83559","0x598da7a9442f75387c0b3495656f000120ff0eea","0x598da7a9442f75387c0b3495656f000120ff0eea","15","13","no","https://portal.abs.xyz/profile/0x598da7a9442f75387c0b3495656f000120ff0eea"
"Diamond","84597","0x9e382ec0328b91f489b4f4ff332b24cf5d935a8b","Sonyblack65","14","20","no","https://portal.abs.xyz/profile/0x9e382ec0328b91f489b4f4ff332b24cf5d935a8b"
"Diamond","85250","0xf23aeb17ff2418b832c47fce57659886e1b99ba3","Shakejr","13","25","no","https://portal.abs.xyz/profile/0xf23aeb17ff2418b832c47fce57659886e1b99ba3"
"Diamond","85526","0x42d55a413bd1d547e41a4c948c3a808ee8b6b73d","LucasNetz","14","22","yes","https://portal.abs.xyz/profile/0x42d55a413bd1d547e41a4c948c3a808ee8b6b73d"
"Diamond","87252","0x28cfe81381060ea23d7baa72b51b7116f99d9bb1","jsteezy","15","14","yes","https://portal.abs.xyz/profile/0x28cfe81381060ea23d7baa72b51b7116f99d9bb1"
"Diamond","89705","0xa43073b5eb85bbf66a41066e01529360dc1cddbe","veermay","13","16","yes","https://portal.abs.xyz/profile/0xa43073b5eb85bbf66a41066e01529360dc1cddbe"
"Diamond","89812","0x3a50d5f2a0913ba6b7cb744f0b10d9becf6a1479","Sp3d","13","25","no","https://portal.abs.xyz/profile/0x3a50d5f2a0913ba6b7cb744f0b10d9becf6a1479"
"Diamond","91471","0xf337990d94ddd0fb08c299b3055a8c708c3e536a","0x0is0","13","7","no","https://portal.abs.xyz/profile/0xf337990d94ddd0fb08c299b3055a8c708c3e536a"
