"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Platinum","49020","0xcf9437320ed8b11db5554c14e5c93f1d1c4f4d79","THECATBURGLAR","12","35","yes","https://portal.abs.xyz/profile/0xcf9437320ed8b11db5554c14e5c93f1d1c4f4d79"
"Platinum","49054","0xf8ca46522a8a108554bd9a6595715b59f9d7559f","MansaMaker","10","15","no","https://portal.abs.xyz/profile/0xf8ca46522a8a108554bd9a6595715b59f9d7559f"
"Platinum","49077","0x9dc70f5472a88f3eefa4d515a6b1ec94d9d30d13","0x9dc70f5472a88f3eefa4d515a6b1ec94d9d30d13","10","14","no","https://portal.abs.xyz/profile/0x9dc70f5472a88f3eefa4d515a6b1ec94d9d30d13"
"Platinum","49148","0xdd8722e99cf2ebe47ba36235fa2f97a3dc2817f3","Firenova","12","40","yes","https://portal.abs.xyz/profile/0xdd8722e99cf2ebe47ba36235fa2f97a3dc2817f3"
"Platinum","49211","0x4ca52f89f6b85268da9c2f8167c072fe22e812c3","Ferelden","10","22","no","https://portal.abs.xyz/profile/0x4ca52f89f6b85268da9c2f8167c072fe22e812c3"
"Platinum","49223","0x0c9bd4bf5e9be83d0c1a5aa9910db76559f4b87e","chaos","10","40","yes","https://portal.abs.xyz/profile/0x0c9bd4bf5e9be83d0c1a5aa9910db76559f4b87e"
"Platinum","49269","0x67cc48a94236f6e3299166d8ccf168b8d0013288","bhizzy","10","23","no","https://portal.abs.xyz/profile/0x67cc48a94236f6e3299166d8ccf168b8d0013288"
"Platinum","49336","0x5aed22709e1278f3b4ac219c4e1cf23a999ef277","Alibaba","10","33","yes","https://portal.abs.xyz/profile/0x5aed22709e1278f3b4ac219c4e1cf23a999ef277"
"Platinum","49361","0x2cf49cfb0044f3e48a5f785902e757f13b9ef0f7","kef","10","38","yes","https://portal.abs.xyz/profile/0x2cf49cfb0044f3e48a5f785902e757f13b9ef0f7"
"Platinum","49523","0xe90a9bdb63e9ba04a7f3e95140ff803f2f377f5e","odinrazdva","10","36","yes","https://portal.abs.xyz/profile/0xe90a9bdb63e9ba04a7f3e95140ff803f2f377f5e"
"Platinum","49588","0x6966f4497173d63bb84d63bd6ebebf3fd2b12ec9","D34thSt4lker","11","17","yes","https://portal.abs.xyz/profile/0x6966f4497173d63bb84d63bd6ebebf3fd2b12ec9"
"Platinum","49591","0x7b924f8164ff2311680a0431f05e6bcde6a3f954","det0n","10","27","yes","https://portal.abs.xyz/profile/0x7b924f8164ff2311680a0431f05e6bcde6a3f954"
"Platinum","49681","0x7cd385a8eebc13b0f52df3f8ef755727ad58a15a","WhitestWizard","11","42","yes","https://portal.abs.xyz/profile/0x7cd385a8eebc13b0f52df3f8ef755727ad58a15a"
