"tier","id","wallet","name","tierV2","badges","streaming","portal_link"
"Gold","1836379","0x41114d4d7e8e6a7a602b85d24d997491beab2045","0x41114d4d7e8e6a7a602b85d24d997491beab2045","7","3","no","https://portal.abs.xyz/profile/0x41114d4d7e8e6a7a602b85d24d997491beab2045"
"Gold","1836402","0x5680e63f707e3fbca32a51145dc887375b5a9c87","btcliquidation","7","6","no","https://portal.abs.xyz/profile/0x5680e63f707e3fbca32a51145dc887375b5a9c87"
"Gold","1836825","0xdb738f7bc502500235c494faa5f6cf666cb193d5","0xdb738f7bc502500235c494faa5f6cf666cb193d5","7","4","no","https://portal.abs.xyz/profile/0xdb738f7bc502500235c494faa5f6cf666cb193d5"
"Gold","1837382","0x1614b727bb08b8420eadf1b6ed7f46c0feef476c","Snyxz","7","11","yes","https://portal.abs.xyz/profile/0x1614b727bb08b8420eadf1b6ed7f46c0feef476c"
"Gold","1838391","0x9b2a19f4fb9beebf2bfdfbdd25328fc441883b01","blueowl","7","8","no","https://portal.abs.xyz/profile/0x9b2a19f4fb9beebf2bfdfbdd25328fc441883b01"
"Gold","1839260","0x0d8878367027882d38d401b12291f0a9695405e1","0x0d8878367027882d38d401b12291f0a9695405e1","7","4","no","https://portal.abs.xyz/profile/0x0d8878367027882d38d401b12291f0a9695405e1"
"Gold","1839378","0x66e7ac14a8182201fba0fb420fd4cf21b2b98810","0x66e7ac14a8182201fba0fb420fd4cf21b2b98810","7","4","no","https://portal.abs.xyz/profile/0x66e7ac14a8182201fba0fb420fd4cf21b2b98810"
"Gold","1839988","0x553099141b411df2cd3d41a68981b0ef95109a28","0x553099141b411df2cd3d41a68981b0ef95109a28","7","0","no","https://portal.abs.xyz/profile/0x553099141b411df2cd3d41a68981b0ef95109a28"
"Gold","1840109","0x8deb7197b4dce438180931ba045078ccb01d0010","0x8deb7197b4dce438180931ba045078ccb01d0010","7","6","no","https://portal.abs.xyz/profile/0x8deb7197b4dce438180931ba045078ccb01d0010"
"Gold","1840202","0xc81b90abc38a84160efc1be3f81e7b1e5df92bd6","0xc81b90abc38a84160efc1be3f81e7b1e5df92bd6","7","5","yes","https://portal.abs.xyz/profile/0xc81b90abc38a84160efc1be3f81e7b1e5df92bd6"
"Gold","1840567","0xd25e6d7db94af88f18fb21f6dbfc8e3dc29fec53","0xd25e6d7db94af88f18fb21f6dbfc8e3dc29fec53","7","9","no","https://portal.abs.xyz/profile/0xd25e6d7db94af88f18fb21f6dbfc8e3dc29fec53"
"Gold","1841011","0x204a7fe60669eb49bde6cbc6be2f1d082ebe3de0","0x204a7fe60669eb49bde6cbc6be2f1d082ebe3de0","7","9","no","https://portal.abs.xyz/profile/0x204a7fe60669eb49bde6cbc6be2f1d082ebe3de0"
"Gold","1841312","0x6f551115a083cc2dce002842c3e802dbf4df134c","0x6f551115a083cc2dce002842c3e802dbf4df134c","7","8","no","https://portal.abs.xyz/profile/0x6f551115a083cc2dce002842c3e802dbf4df134c"
"Gold","1841314","0x982145dc3c7c5d5c662169e14ae2c54d3aacee78","0x982145dc3c7c5d5c662169e14ae2c54d3aacee78","7","6","yes","https://portal.abs.xyz/profile/0x982145dc3c7c5d5c662169e14ae2c54d3aacee78"
"Gold","1841323","0x487e06bfb8becca1ca1ebcc5957765e2c2693dea","0x487e06bfb8becca1ca1ebcc5957765e2c2693dea","7","6","yes","https://portal.abs.xyz/profile/0x487e06bfb8becca1ca1ebcc5957765e2c2693dea"
"Gold","1841324","0x10c5267562f0cd30dfbc0c6cf3ee63dcc6b2f35d","0x10c5267562f0cd30dfbc0c6cf3ee63dcc6b2f35d","7","5","no","https://portal.abs.xyz/profile/0x10c5267562f0cd30dfbc0c6cf3ee63dcc6b2f35d"
"Gold","1841325","0xc635d42a6802bf06ee0139469317d473b59efed3","0xc635d42a6802bf06ee0139469317d473b59efed3","7","6","yes","https://portal.abs.xyz/profile/0xc635d42a6802bf06ee0139469317d473b59efed3"
